year,metric,category,value,units,source,yoy_change_pct,moving_avg_3yr
2000,Electricity Generation (GWh),Fossil fuels n.e.s.,47752.0,GWh,IRENA,,47752.0
2001,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,47752.0
2001,Electricity Generation (GWh),Fossil fuels n.e.s.,49996.0,GWh,IRENA,,48874.0
2002,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,49996.0
2002,Electricity Generation (GWh),Fossil fuels n.e.s.,50812.5,GWh,IRENA,,50404.25
2003,Electricity Generation (GWh),Fossil fuels n.e.s.,51254.0,GWh,IRENA,0.8688806888068881,51033.25
2004,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,51033.25
2004,Electricity Generation (GWh),Fossil fuels n.e.s.,53923.0,GWh,IRENA,,52588.5
2005,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,53923.0
2005,Electricity Generation (GWh),Fossil fuels n.e.s.,57972.5,GWh,IRENA,,55947.75
2006,Electricity Generation (GWh),Fossil fuels n.e.s.,61598.5,GWh,IRENA,6.254689723575833,59785.5
2007,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,59785.5
2007,Electricity Generation (GWh),Fossil fuels n.e.s.,64674.5,GWh,IRENA,,63136.5
2008,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,64674.5
2008,Electricity Generation (GWh),Fossil fuels n.e.s.,65319.0,GWh,IRENA,,64996.75
2009,Electricity Generation (GWh),Fossil fuels n.e.s.,66694.0,GWh,IRENA,2.1050536597314715,66006.5
2010,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,66006.5
2010,Electricity Generation (GWh),Fossil fuels n.e.s.,66783.5,GWh,IRENA,,66738.75
2011,Electricity Generation (GWh),Fossil fuels n.e.s.,65419.5,GWh,IRENA,-2.0424206577972104,66101.5
2012,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,66101.5
2012,Electricity Generation (GWh),Fossil fuels n.e.s.,64265.0,GWh,IRENA,,64842.25
2013,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,64265.0
2013,Electricity Generation (GWh),Fossil fuels n.e.s.,64874.7,GWh,IRENA,,64569.85
2014,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,64874.7
2014,Electricity Generation (GWh),Fossil fuels n.e.s.,68359.7,GWh,IRENA,,66617.2
2015,Electricity Generation (GWh),Fossil fuels n.e.s.,71851.3,GWh,IRENA,5.107687716593265,70105.5
2016,Electricity Generation (GWh),Fossil fuels n.e.s.,76563.1,GWh,IRENA,6.557710159732674,72258.03333333334
2017,Electricity Generation (GWh),Fossil fuels n.e.s.,85733.3,GWh,IRENA,11.97731021863012,78049.23333333334
2018,Electricity Generation (GWh),Fossil fuels n.e.s.,90954.5,GWh,IRENA,6.090049024124811,84416.96666666667
2019,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,88343.90000000001
2019,Electricity Generation (GWh),Fossil fuels n.e.s.,85730.0,GWh,IRENA,,88342.25
2020,Electricity Generation (GWh),Fossil fuels n.e.s.,85873.0,GWh,IRENA,0.1668027528286481,85801.5
2021,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,85801.5
2021,Electricity Generation (GWh),Fossil fuels n.e.s.,91696.0,GWh,IRENA,,88784.5
2022,Electricity Generation (GWh),Fossil fuels n.e.s.,82863.5,GWh,IRENA,-9.632372186354912,87279.75
2023,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,87279.75
2000,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2001,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2002,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2003,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2004,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2005,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2006,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2007,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2008,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2009,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2010,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2011,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2012,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2013,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2014,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2015,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2016,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2017,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2018,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2019,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2020,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2021,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2022,Electricity Generation (GWh),Geothermal energy,,GWh,IRENA,,
2000,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2001,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2002,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2003,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2004,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2005,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2006,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2007,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2008,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2009,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2010,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2011,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2012,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2013,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2014,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2015,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2016,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2017,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2018,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2019,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2020,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2021,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2022,Electricity Generation (GWh),Marine energy,,GWh,IRENA,,
2001,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2003,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2004,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2005,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2006,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2007,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2008,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2009,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2010,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2011,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2012,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2013,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2014,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2015,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2016,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2017,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2019,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2020,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2021,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2022,Electricity Generation (GWh),Multiple renewables*,,GWh,IRENA,,
2011,Electricity Generation (GWh),Natural gas,,GWh,IRENA,,
2014,Electricity Generation (GWh),Natural gas,,GWh,IRENA,,
2015,Electricity Generation (GWh),Natural gas,,GWh,IRENA,,
2000,Electricity Generation (GWh),Nuclear,1200.0,GWh,IRENA,,1200.0
2001,Electricity Generation (GWh),Nuclear,1900.0,GWh,IRENA,58.333333333333336,1550.0
2002,Electricity Generation (GWh),Nuclear,1800.0,GWh,IRENA,-5.263157894736842,1633.3333333333333
2003,Electricity Generation (GWh),Nuclear,1703.0,GWh,IRENA,-5.388888888888889,1801.0
2004,Electricity Generation (GWh),Nuclear,,GWh,IRENA,,1751.5
2004,Electricity Generation (GWh),Nuclear,2077.0,GWh,IRENA,,1890.0
2005,Electricity Generation (GWh),Nuclear,2417.5,GWh,IRENA,16.39383726528647,2247.25
